all_hgvs,all_motor_vehicles,buses_and_coaches,cars_and_taxis,count_point_id,easting,end_junction_road_name,estimation_method,estimation_method_detailed,hgvs_2_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,id,latitude,lgvs,link_length_km,link_length_miles,local_authority_id,longitude,northing,pedal_cycles,region_id,road_category,road_name,road_type,start_junction_road_name,two_wheeled_motor_vehicles,year
169,19399,102,16102,522,312000,A4161,Estimated,Estimated using AADF from previous year on this link,100,12,19,17,9,13,562,51.46729038,2904,4.60,2.86,19,-3.26825910,175021,57,4,PA,A48,Major,A4232 / A4050,122,2024
73,7090,145,5969,638,317670,Tudor Street,Counted,Manual count,45,1,16,0,5,6,2327,51.47245104,858,0.80,0.50,19,-3.18676306,175500,305,4,PA,A4119,Major,A4160,46,2024
257,29340,26,25786,642,319033,A4161 Newport Rd,Estimated,Estimated using AADF from previous year on this link,162,8,32,14,11,30,2406,51.47987592,3121,0.50,0.31,19,-3.16732782,176304,435,4,PA,A4160,Major,A4234 Central Link,150,2024
220,19631,52,16473,10527,315040,A4119,Estimated,Estimated using AADF from previous year on this link,116,26,35,18,18,6,48757,51.48981635,2801,1.40,0.87,19,-3.22509595,177475,69,4,PA,A48,Major,A4161,86,2024
39,6771,61,5675,10629,314860,Pantmawr Rd,Estimated,Estimated using AADF from previous year on this link,37,0,2,0,0,0,50441,51.51248790,947,3.10,1.93,19,-3.22829875,180000,180,4,PA,A4054,Major,A4119,49,2024
193,19210,224,16288,10655,315350,A4054,Estimated,Estimated using AADF from previous year on this link,116,5,28,28,5,11,50838,51.49458242,2388,0.70,0.43,19,-3.22075815,178000,185,4,PA,A4119,Major,A48,117,2024
792,48359,284,40183,20527,320000,A4161,Estimated,Estimated using AADF from previous year on this link,386,30,94,85,44,152,96869,51.50213736,6960,4.40,2.73,19,-3.15396504,178765,1,4,PA,A48,Major,A469 / A470,141,2024
261,17484,630,14231,20548,317940,Colum Rd,Estimated,Estimated using AADF from previous year on this link,159,19,29,21,22,11,97149,51.48597489,2213,1.30,0.81,19,-3.18322535,177000,938,4,PA,A470,Major,A4161 Boulevard de Nantes,149,2024
2967,73067,237,61072,30528,322694,A48M jn29a,Counted,Manual count,651,145,208,226,214,1523,145573,51.53074060,8520,1.50,0.93,19,-3.11585003,181905,2,4,PA,A48,Major,A4232,271,2024
44,2903,92,2313,30631,313600,B4262 roundabout,Estimated,Estimated using AADF from previous year on this link,35,2,3,4,0,0,147152,51.53027490,430,2.00,1.24,19,-3.24694235,182000,170,4,PA,A4054,Major,M4/A470 roundabout,24,2024
196,13602,192,11565,30659,314920,B4262 Heol Isaf,Estimated,Estimated using AADF from previous year on this link,64,1,20,96,9,6,147527,51.49721469,1574,2.10,1.30,19,-3.22702329,178300,140,4,PA,A4119,Major,A4054,76,2024
78,6345,138,5406,30660,318000,A4160,Estimated,Estimated using AADF from previous year on this link,48,1,25,4,0,0,147552,51.46800421,690,1.80,1.12,19,-3.18189678,175000,102,4,PA,A4119,Major,A4232,33,2024
298,27184,662,22790,40549,317012,A48 Eastern Avenue/A469 Whitchurch Rd,Estimated,Estimated using AADF from previous year on this link,175,8,50,41,6,18,193507,51.50238035,3254,1.50,0.93,19,-3.19702062,178840,399,4,PA,A470,Major,Colum Rd,181,2024
96,15222,165,12943,40582,318000,A48,Estimated,Estimated using AADF from previous year on this link,73,3,16,2,2,1,193890,51.49731065,1952,3.80,2.36,19,-3.18265449,178260,630,4,PA,A469,Major,A4161,67,2024
292,14565,50,11688,40655,317430,A4119,Estimated,Estimated using AADF from previous year on this link,209,11,21,17,17,16,195066,51.46765147,2436,1.80,1.12,19,-3.19009383,174970,253,4,PA,A4160,Major,LA Boundary,100,2024
296,23143,519,19478,40656,319475,A469 Albany Rd,Estimated,Estimated using AADF from previous year on this link,174,14,43,11,24,30,195091,51.48619597,2642,1.30,0.81,19,-3.16112318,177000,661,4,PA,A4161,Major,A4160 Fitzalan Place,208,2024
2004,55583,185,43224,50509,312721,B4267 mid-junction,Counted,Manual count,748,53,179,310,330,384,239759,51.46573921,9958,4.70,2.92,19,-3.25783616,174836,0,4,PA,A4232,Major,A48/A4050,213,2024
3490,78648,368,63101,50524,320757,A4232,Counted,Manual count,668,52,312,372,133,1953,240059,51.51487450,11418,2.80,1.74,19,-3.14337810,180170,1,4,PA,A48,Major,A4161,272,2024
452,51281,121,43225,50527,316017,A469 / A470,Estimated,Estimated using AADF from previous year on this link,286,21,49,39,20,37,240109,51.49564387,7156,2.00,1.24,19,-3.21117780,178107,185,4,PA,A48,Major,A4119,326,2024
464,26555,133,22298,50541,315785,Pantmawr Rd,Estimated,Estimated using AADF from previous year on this link,222,9,53,89,29,61,240362,51.51615959,3555,3.30,2.05,19,-3.21506621,180393,46,4,PA,A470,Major,A48 overpass,106,2024
7485,112197,153,83049,50612,310179,32,Counted,Manual count,1636,535,454,566,1126,3168,241718,51.51179727,21079,5.50,3.42,19,-3.29573671,180004,0,4,TM,M4,Major,33,431,2024
121,12767,30,10915,50647,317550,A4161 Cowbridge Road East,Counted,Manual count,84,4,15,4,1,14,242118,51.47872634,1600,0.50,0.31,19,-3.18865389,176200,228,4,PA,A4119,Major,Tudor St,101,2024
111,22346,138,19614,50651,316145,A48,Estimated,Estimated using AADF from previous year on this link,74,5,16,5,8,3,242168,51.48926226,2374,2.20,1.37,19,-3.20916488,177395,64,4,PA,A4119,Major,A4161,108,2024
253,18217,470,14999,70055,318590,A4160,Estimated,Estimated using AADF from previous year on this link,159,6,34,36,12,7,290089,51.48463059,2245,1.00,0.62,19,-3.17382916,176840,414,4,PA,A4161,Major,A470,251,2024
263,16193,51,13607,73226,324000,LA Boundary,Counted,Dependent on a neighbouring counted link,109,10,26,86,19,13,302405,51.53267175,2161,1.40,0.87,19,-3.09706786,182100,33,4,PA,A48,Major,A48M,110,2024
2916,48719,227,38887,73227,323750,LA Boundary,Counted,Dependent on a neighbouring counted link,609,134,99,241,725,1109,302430,51.53398633,6544,1.10,0.68,19,-3.10070402,182250,0,4,TM,A48(M),Major,29,145,2024
6806,73438,82,49697,73228,322500,LA Boundary,Estimated,Estimated using AADF from previous year on this link,1366,252,343,402,1356,3086,302455,51.54136659,16654,1.40,0.87,19,-3.11890771,183090,0,4,TM,M4,Major,30,200,2024
49,6068,146,4847,73229,312706,LA Boundary,Estimated,Estimated using AADF from previous year on this link,42,2,2,0,2,2,302480,51.53712169,1008,0.30,0.19,19,-3.26001962,182777,97,4,PA,A4054,Major,A470,18,2024
2525,71357,254,55783,73230,312720,LA Boundary,Counted,Dependent on a neighbouring counted link,849,105,218,427,270,657,302505,51.53719577,12523,0.20,0.12,19,-3.25981981,182785,0,4,TA,A470,Major,A4054,272,2024
2004,55583,185,43224,74098,316350,LA Boundary,Counted,Dependent on a neighbouring counted link,748,53,179,310,330,384,322358,51.46596435,9958,1.30,0.81,19,-3.20559799,174800,0,4,PA,A4232,Major,B4267,213,2024
2004,55583,185,43224,74099,316590,LA Boundary,Counted,Dependent on a neighbouring counted link,748,53,179,310,330,384,322383,51.46024658,9958,0.10,0.06,19,-3.20199272,174160,0,4,PA,A4232,Major,LA Boundary,213,2024
2004,55583,185,43224,74101,317500,A4055,Counted,Dependent on a neighbouring counted link,748,53,179,310,330,384,322433,51.45386262,9958,0.60,0.37,19,-3.18872781,173435,0,4,PA,A4232,Major,LA Boundary,213,2024
167,11074,113,8961,77018,318580,Bute Terrace,Estimated,Estimated using AADF from previous year on this link,114,3,20,19,3,8,350771,51.47635871,1500,0.30,0.19,19,-3.17376102,175920,462,4,PA,A4160,Major,Herbert St,334,2024
164,8621,97,7161,78436,310000,LA Boundary,Estimated,Estimated using AADF from previous year on this link,72,14,15,58,4,2,382852,51.51155301,1116,6.50,4.04,19,-3.29830931,179980,32,4,PA,A4119,Major,B4262 Heol Isaf,83,2024
38,6501,59,5448,78437,314260,M4,Estimated,Estimated from nearby links,36,0,2,0,0,0,382877,51.52363377,909,0.90,0.56,19,-3.23724754,181250,173,4,PA,A4054,Major,Pantmawr Rd,47,2024
809,26105,35,20922,78439,321740,road to Llanedeyrn,Estimated,Estimated from nearby links,238,27,69,121,81,274,382920,51.53146276,4296,0.90,0.56,19,-3.12962162,182000,0,4,PA,A4232,Major,A48,42,2024
22,1638,165,1268,80896,319000,Bute St,Estimated,Estimated using AADF from previous year on this link,16,3,2,0,0,1,406664,51.46931726,167,1.50,0.93,19,-3.16753356,175130,183,4,PA,A470,Major,Hemingway Rd/Heol Hemingway,17,2024
2679,59893,165,46419,82122,311226,A48 / A4050,Estimated,Estimated using AADF from previous year on this link,728,60,243,401,359,888,417806,51.47399213,10499,5.80,3.60,19,-3.27959008,175780,0,4,TA,A4232,Major,M4 Junction 33,131,2024
1465,46857,46,38113,90029,318467,,Estimated,Estimated using AADF from previous year on this link,508,31,200,309,74,343,423954,51.45954052,7042,2.00,1.24,19,-3.17495605,174051,2,4,PA,A4232,Major,,191,2024
1333,44744,29,36495,90030,319674,A4234,Estimated,Estimated using AADF from previous year on this link,418,43,176,285,177,235,423961,51.46780439,6731,0.90,0.56,19,-3.15779157,174951,2,4,PA,A4232,Major,A470,156,2024
447,29576,34,25298,90031,319289,A4160,Estimated,Estimated using AADF from previous year on this link,182,10,54,72,28,102,423968,51.47497731,3712,1.80,1.12,19,-3.16351681,175755,3,4,PA,A4234,Major,A4232,85,2024
1098,19875,43,15440,90032,319904,A4234,Estimated,Estimated using AADF from previous year on this link,420,22,154,214,21,266,423975,51.46811575,3204,1.20,0.75,19,-3.15448819,174982,34,4,PA,A4232,Major,Ocean Way - Rover Way roundabout,90,2024
2840,74985,293,57643,90295,313220,A4054,Estimated,Estimated using AADF from previous year on this link,994,84,244,538,221,759,425669,51.53021649,13951,2.60,1.62,19,-3.25241897,182000,0,4,TA,A470,Major,M4,257,2024
445,25492,127,21406,90320,314600,M4,Estimated,Estimated from nearby links,213,9,51,86,28,59,425844,51.52503382,3412,1.10,0.68,19,-3.23238448,181400,44,4,PA,A470,Major,Pantmawr Rd,102,2024
133,19614,580,16142,92136,314950,lat: 51.4815 long: -3.189,Estimated,Estimated using AADF from previous year on this link,84,5,24,5,2,13,428238,51.48445399,2642,2.90,1.80,19,-3.22624827,176880,395,4,PA,A4161,Major,lat: 51.4851 long: -3.2289,118,2024
208,15430,616,12669,92137,318000,lat: 51.4838 long: -3.1801,Estimated,Estimated using AADF from previous year on this link,165,4,23,3,9,3,428243,51.48103925,1728,1.00,0.62,19,-3.18223357,176450,2447,4,PA,A4161,Major,lat: 51.4815 long: -3.189,210,2024
337,32809,369,27848,92138,320527,lat: 51.5005 long: -3.1403,Estimated,Estimated using AADF from previous year on this link,209,17,45,13,22,32,428248,51.49288059,4028,1.80,1.12,19,-3.14613899,177727,577,4,PA,A4161,Major,lat: 51.4915 long: -3.1546,226,2024
3274,57845,190,45371,92139,320744,lat: 51.5072 long: -3.1459,Counted,Manual count,792,82,168,418,657,1157,428253,51.50486725,8753,1.80,1.12,19,-3.14331514,179057,16,4,PA,A4161,Major,lat: 51.5005 long: -3.1403,258,2024
1637,28923,95,22685,92140,321444,lat: 51.5005 long: -3.1403,Estimated,Estimated from nearby links,396,41,84,209,328,579,428258,51.49618238,4376,1.40,0.87,19,-3.13301199,178080,4,4,PA,A4232,Major,lat: 51.4934 long: -3.1336,129,2024
211,13565,57,10967,92141,318171,lat: 51.475 long: -3.1751,Estimated,Estimated using AADF from previous year on this link,152,8,22,11,8,10,428263,51.47264071,2136,1.20,0.75,19,-3.17955443,175513,853,4,PA,A4160,Major,lat: 51.4701 long: -3.1863,193,2024
160,9861,106,7890,92142,318544,lat: 51.4756 long: -3.173,Estimated,Estimated using AADF from previous year on this link,113,3,25,10,2,7,428268,51.47561636,1628,0.20,0.12,19,-3.17426033,175838,154,4,PA,A4160,Major,lat: 51.475 long: -3.1751,76,2024
169,10551,123,8486,92143,318587,lat: 51.4756 long: -3.173,Estimated,Estimated using AADF from previous year on this link,110,5,20,28,0,6,428273,51.47505621,1711,0.20,0.12,19,-3.17362680,175775,161,4,PA,A4160,Major,lat: 51.475 long: -3.1751,61,2024
93,3896,857,2321,92144,318372,lat: 51.475 long: -3.1751,Estimated,Estimated using AADF from previous year on this link,77,3,9,2,1,2,428278,51.47681408,551,0.30,0.19,19,-3.17676775,175974,612,4,PA,A470,Major,lat: 51.4779 long: -3.1777,74,2024
269,14454,233,11978,92200,316835,lat: 51.5514 long: -3.2159,Estimated,Estimated using AADF from previous year on this link,142,1,31,17,16,61,428551,51.51278230,1852,5.40,3.36,19,-3.19984422,180000,234,4,PA,A469,Major,lat: 51.5047 long: -3.1985,122,2024
843,27193,36,21794,99608,321925,M4 Junction 30,Counted,Manual count,247,29,72,126,84,285,441269,51.53423922,4475,1.10,0.68,19,-3.12702315,182306,0,4,PA,A4232,Major,A48,44,2024
6469,87349,200,63427,99609,315545,30,Counted,Manual count,1157,278,333,447,3670,584,441294,51.53430050,17028,9.00,5.59,19,-3.21901002,182415,0,4,TM,M4,Major,32,225,2024
2004,55583,185,43224,99768,316600,LA Boundary,Counted,Dependent on a neighbouring counted link,748,53,179,310,330,384,444047,51.45880974,9958,0.20,0.12,19,-3.20181105,174000,0,4,PA,A4232,Major,LA Boundary,213,2024
211,14969,770,12299,99955,318680,A4234,Estimated,Estimated using AADF from previous year on this link,157,10,12,11,9,11,447757,51.47796430,1523,0.60,0.37,19,-3.17236222,176097,559,4,PA,A4160,Major,A470,165,2024
541,36205,77,30804,99960,317740,A4232,Estimated,Estimated using AADF from previous year on this link,276,7,77,92,20,68,447805,51.44998702,4616,0.80,0.50,19,-3.18517322,173000,18,4,PA,A4055,Major,LA Boundary,167,2024
102,9418,60,8125,805026,322458,,Counted,Manual count,46,0,10,39,7,0,463943,51.51756541,1074,,,19,-3.11892923,180443,101,4,MB,B4487,Minor,,58,2024
25,7754,253,6423,805223,312475,,Counted,Manual count,22,0,3,0,1,0,464564,51.47532880,1015,,,19,-3.26164242,175907,86,4,MCU,U,Minor,,38,2024
1,171,0,143,805226,316611,,Counted,Manual count,1,0,0,0,0,0,464573,51.51399883,23,,,19,-3.20310448,180139,11,4,MCU,U,Minor,,4,2024
104,11467,141,9519,806201,316738,,Counted,Manual count,68,4,19,1,7,5,467820,51.47337527,1612,,,19,-3.20020650,175618,399,4,MCU,U,Minor,,91,2024
20,5508,20,4867,811644,315690,,Counted,Manual count,20,0,0,0,0,0,482530,51.48918557,564,,,19,-3.21571656,177394,105,4,MB,B4488,Minor,,38,2024
60,9443,29,7999,811648,316451,,Counted,Manual count,49,0,6,4,0,0,482549,51.48541507,1307,,,19,-3.20465595,176962,60,4,MB,B4267,Minor,,47,2024
20,1662,11,1351,811689,322919,,Counted,Manual count,19,0,0,1,0,0,482656,51.52891964,257,,,19,-3.11256175,181699,89,4,MB,B4562,Minor,,23,2024
79,12882,269,11227,811705,320219,,Counted,Manual count,53,0,14,8,0,3,482715,51.50535967,1279,,,19,-3.15089140,179120,25,4,MCU,C,Minor,,28,2024
78,19129,66,17001,811820,318161,,Counted,Manual count,54,3,14,6,1,0,482980,51.52718878,1931,,,19,-3.18110842,181581,182,4,MCU,C,Minor,,53,2024
0,329,0,284,811901,315929,,Counted,Manual count,0,0,0,0,0,0,483199,51.47956631,38,,,19,-3.21201893,176320,44,4,MCU,U,Minor,,7,2024
37,5633,19,4943,812069,318440,,Counted,Manual count,20,1,11,3,0,3,483607,51.53362069,615,,,19,-3.17725281,182292,85,4,MB,B4562,Minor,,18,2024
5,756,0,630,820011,319677,,Counted,Manual count,2,0,4,0,0,0,484354,51.51863238,118,,,19,-3.15903720,180605,11,4,MCU,U,Minor,,4,2024
4,784,0,654,820012,323020,,Counted,Manual count,3,0,2,0,0,0,484359,51.51209589,117,,,19,-3.11069547,179826,24,4,MCU,U,Minor,,8,2024
